question,document
What kind of cases did Sherlock Holmes typically refuse to work on?,0
What motivated Sherlock Holmes to choose the cases he did?,0
How long did the narrator study Sherlock Holmes' methods?,0
What is the narrator's perspective on the cases they studied?,0
What is the most common characteristic of the cases the narrator studied?,0
What unique characteristics did the Roylott family of Stoke Moran have?,1
When did the events in the story take place?,1
Where were Holmes and the narrator living at the time?,1
Has the narrator shared this story before?,1
What caused the narrator to be released from the promise of secrecy?,1
"What text was given, and why is it significant?",2
Why is the author revealing the facts about Dr. Grimesby Roylott's death?,2
What are the rumors surrounding Dr. Grimesby Roylott's death?,2
How do these rumors make the truth of his death seem even more terrible?,2
Who has the author spoken to in order to know about these rumors?,2
"Why was Sherlock Holmes, who is usually a late riser, awake so early in the morning?",3
What time was it when the narrator woke up and found Sherlock Holmes by his bedside?,3
What month and year did the narrator wake up to find Sherlock Holmes by his side?,3
"What is the narrator's typical sleeping schedule, and how does it compare to Sherlock Holmes's?",3
Did the narrator feel any emotions other than surprise when he woke up to find Sherlock Holmes by his bed?,3
Why is Sherlock Holmes apologizing for disturbing Watson so early in the morning?,4
What has happened to Mrs. Hudson that caused her to be 'knocked up'?,4
What is Sherlock Holmes suggesting might have happened to him that caused him to be 'knocked up'?,4
Is there a sense of urgency in Sherlock Holmes's tone when he speaks to Watson?,4
What kind of situation could cause both Mrs. Hudson and Sherlock Holmes to be 'knocked up' early in the morning?,4
Why is the young lady in such a state of excitement and what has caused her to come to the city at this unusual hour?,5
"What kind of case is this young lady presenting, and what makes it potentially interesting?",5
What is the identity of the young lady and how does she know the person she wants to see?,5
Where does the story take place and what is the setting like?,5
What is the relationship between the narrator and the person the young lady wishes to see?,5
Why did the speaker think they should call the listener?,6
What opportunity did the speaker want to provide to the listener?,6
What was the reason behind the speaker's decision to call?,6
Was the speaker's intention to inform or offer something to the listener?,6
Did the speaker believe it was important to call the listener at this time?,6
What is the speaker so eager to attend?,7
Who is the speaker addressing with such enthusiasm?,7
What event is the speaker referring to as 'it'?,7
Is there a particular reason the speaker wouldn't miss this event?,7
What is the significance of the speaker's statement about missing this event?,7
What kind of investigations does Holmes specialize in?,8
What is the narrator's relationship with Holmes?,8
What does the narrator admire about Holmes's methods?,8
Why is the narrator eager to accompany Holmes?,8
What is the appearance of the lady in the sitting-room?,8
Who is speaking to Sherlock Holmes?,9
What is the name of Sherlock Holmes' associate?,9
"Is there someone else in the room besides Holmes, Watson, and the woman?",9
How does Holmes know the woman is shivering?,9
What does Holmes order for the woman?,9
"What is it that makes the woman shiver, if not the cold?",10
Why does the woman change her seat?,10
What is the tone of the woman's voice?,10
"Who is asking the woman 'What, then?'",10
What is the setting or context of this conversation?,10
What is the source of the woman's fear and terror?,11
"What is the woman's age, based on her appearance?",11
What physical details reveal the woman's emotional state?,11
How does the woman's appearance contrast with her stated age?,11
What is Sherlock Holmes's reaction to the woman's appearance?,11
What kind of information is being gathered in these glances?,12
Who is taking these all-comprehensive glances?,12
What is the purpose of these all-encompassing glances?,12
What does it mean that the glances are 'all-comprehensive'?,12
Are these glances being taken in a particular context or situation?,12
How did the speaker know that the person arrived by train?,13
Why did the speaker say that the person had a good drive in a dog-cart?,13
What is the significance of the return ticket?,13
How did the speaker know that the person started early?,13
What makes the roads heavy?,13
How did the lady react to the man's statement?,14
What evidence did the man use to deduce the type of vehicle?,14
What specific details about the mud splatter did the man notice?,14
Why did the man mention the seating position on the dog-cart?,14
What is the implication of the man's deduction about the lady's recent activities?,14
What time did the speaker leave home?,15
Where did the speaker arrive at twenty past?,15
What time did the speaker arrive at Waterloo?,15
What is the speaker's current emotional state?,15
Who is the only person the speaker can turn to for help?,15
"Why did the writer reach out to the person in the record, and what kind of help are they seeking?",16
Who is Mrs. Farintosh and how did she receive help from the person in the record?,16
What is the current situation of the writer and what is preventing them from offering a reward?,16
What will change in the writer's situation in a month or six weeks that will allow them to compensate for the help?,16
Does the writer expect the person in the record to wait for the reward or are they willing to help regardless?,16
Who is the speaker in this sentence expressing gratitude to?,17
What has the speaker been given that they are acknowledging?,17
"What is the speaker implying about their future actions, based on the phrase 'least you shall not find me ungrateful'?",17
What is the context surrounding this statement? What events or circumstances led to this expression of gratitude?,17
"What is the tone of the speaker in this sentence? Is it genuine, sarcastic, or something else entirely?",17
What kind of information does Holmes keep in his case-book?,18
Why does Holmes need to unlock his desk to access the case-book?,18
What is the purpose of Holmes consulting the case-book at this moment?,18
Is the case-book a personal journal or a collection of case details?,18
Does the case-book contain information about the current case Holmes is investigating?,18
What was the Farintosh case about and what happened to the opal tiara?,19
Was the Farintosh case particularly difficult or famous?,19
Did the Farintosh case involve a woman like me?,19
What kind of expenses might you incur in solving my case?,19
"If I choose to pay you, when would you prefer to receive payment?",19
What is the matter that the speaker wants an opinion on?,20
Why does the speaker believe the information presented will be helpful in forming an opinion?,20
What is the speaker's relationship to the person being addressed?,20
What is the tone of the speaker's request?,20
What type of information is the speaker expecting to be presented?,20
Why does the visitor feel that her fears are being dismissed by the person she seeks help from?,21
What specific 'small points' or details is the visitor referring to that are causing her suspicion?,21
How does the visitor perceive the person she is speaking to is reacting to her concerns?,21
What is the nature of the visitor's relationship with the person she is seeking help from?,21
Is there a reason the visitor feels she has a 'right' to look to this person for help and advice?,21
"Mr. Holmes, you have a reputation for understanding the darkest corners of the human soul. Can you tell me, based on your experience, what kind of dangers I should be most wary of?",22
I've heard stories about your ability to see through deception and unravel hidden motives. Can you help me decipher the true nature of the threats I'm facing?,22
"Given your understanding of human behavior, how can I navigate the dangerous situation I find myself in without falling victim to the wickedness around me?",22
"You've been called a master of deduction, Mr. Holmes.  Is there a way to predict the dangers I might encounter based on the clues I have gathered?",22
My intuition tells me there is more to this situation than meets the eye. Can you use your knowledge to help me see the hidden motives and dangers that threaten my safety?,22
"What is the speaker's name, and what is her relationship to the last survivor of the Roylott family?",23
"Where is the speaker living, and what is the name of the town and county?",23
What is the surname of the speaker's stepfather?,23
What family lineage does the speaker's stepfather come from?,23
Why does the speaker believe Sherlock Holmes is familiar with the Roylott name?,23
How did the family's wealth change over time?,24
What were the characteristics of the four heirs who led to the family's decline?,24
What specific actions by the gambler during the Regency period caused the family's financial ruin?,24
What remnants of the family's past wealth remain?,24
What is the current state of the family's house?,24
What kind of life did the narrator's step-father's father lead before his financial decline?,25
Why did the narrator's step-father need to adapt to new conditions?,25
How did the narrator's step-father obtain the funds to pursue a medical degree?,25
Where did the narrator's step-father go to establish his medical practice?,25
What caused the fit of anger mentioned in the record?,25
What crime did the man commit that led to his imprisonment?,26
Why did he only receive a long term of imprisonment instead of a capital sentence?,26
What was the man's emotional state upon returning to England?,26
What was the man's relationship with his native butler?,26
What was the man's reason for beating his butler to death?,26
What was the name of Dr. Roylott's wife?,27
How much money did Dr. Roylott's wife inherit?,27
What was the name of Dr. Roylott's wife's first husband?,27
How old were the twins when their mother remarried?,27
What was the profession of Dr. Roylott's wife's first husband?,27
What was the specific arrangement regarding financial support upon marriage?,28
How long ago did the narrator's mother pass away?,28
What was the cause of the narrator's mother's death?,28
Why did Dr. Roylott stop practicing medicine in London?,28
Where did the narrator and her sister move to after their mother's death?,28
What caused the drastic change in the narrator's stepfather's behavior?,29
How did the neighbors initially react to the stepfather's return to Stoke Moran?,29
What was the stepfather's attitude towards people who crossed his path?,29
What is the hereditary trait in the men of the family?,29
Is there a connection between the stepfather's violent temper and the family history?,29
What caused the man's anger to become so intense?,30
How did the man's long time in the tropics impact his behavior?,30
What kind of disgraceful brawls did the man get involved in?,30
Why did the man's actions end up in the police court?,30
What happened when people saw the man coming towards them?,30
Why did the narrator have to pay money to avoid another public exposure?,31
What caused the narrator to pay the blacksmith?,31
Who are the only people the subject seemed to be friends with?,31
What kind of land does the subject own?,31
Where does the subject sometimes go with the gypsies?,31
"How long has the man been living in this house, and what evidence suggests that?",32
What kind of animals does the man keep besides the cheetah and baboon?,32
What is the man's relationship with his correspondent who sends him the animals?,32
"How do the villagers feel about the cheetah and baboon, and why?",32
Does the man have any other unusual or interesting hobbies or passions besides his love for Indian animals?,32
What kind of work did you and your sister have to do around the house?,33
Did your sister Julia have any health problems that might have caused her hair to turn white so early?,33
Why do you say that you and your sister had no great pleasure in your lives?,33
Did your sister Julia ever mention wanting to leave the house or the situation you were in?,33
How did your sister Julia die?,33
What happened to Julia two years ago?,34
How often did the narrator and Julia visit their aunt?,34
Where does Miss Honoria Westphail live?,34
What was the narrator's relationship with Julia?,34
What was the narrator's life like before Julia's death?,34
Who was the half-pay major of marines that the narrator's sister became engaged to?,35
What was the 'terrible event' that occurred within a fortnight of the wedding?,35
How did the narrator's step-father learn about the engagement?,35
What was the narrator's relationship with the sister who became engaged?,35
What does the phrase 'deprived me of my only companion' imply about the narrator's relationship with their sister?,35
What was Sherlock Holmes doing before his visitor arrived?,36
What was the physical state of Sherlock Holmes when his visitor arrived?,36
What is Sherlock Holmes's expression as he looks at his visitor?,36
What did Sherlock Holmes say to his visitor?,36
Why does Sherlock Holmes want his visitor to be precise about the details?,36
How many wings are there in the manor-house and which one is inhabited?,37
What is the layout of the bedrooms in the inhabited wing?,37
Are there any bedrooms on the upper floors?,37
What rooms are located in the central block of the buildings?,37
Is there any way to move between the different bedrooms?,37
What are the rooms like that open out into the same corridor?,38
Why does the speaker ask if they make themselves plain?,38
What are 'they' referring to?,38
Is the corridor a familiar place to the speaker?,38
What is the speaker's intention in mentioning the rooms opening onto the same corridor?,38
What is the speaker responding to with 'Perfectly so.'?,39
Who is the speaker addressing when they say 'Perfectly so.'?,39
What situation or event prompted the speaker to agree with 'Perfectly so.'?,39
What does the speaker mean by 'Perfectly so.' in this context?,39
Is the speaker expressing genuine agreement or sarcasm with 'Perfectly so.'?,39
How many rooms in the house have windows that face the lawn?,40
What time did Dr. Roylott go to his room on the night in question?,40
Why did Dr. Roylott's wife not go to bed early that night?,40
What was the topic of the conversation between the two sisters?,40
What time did the sister leave her own room to go to her sister's room?,40
What did they see when they looked back?,41
Who or what was looking back?,41
Why did they look back?,41
What had happened before they looked back?,41
What happened after they looked back?,41
What made the speaker ask Helen if she had ever heard anyone whistle in the dead of the night?,42
Why did the speaker think Helen might whistle in her sleep?,42
What was the speaker's intention in asking Helen about whistling?,42
Did the speaker hear someone whistling in the dead of night?,42
What was the speaker's reaction to hearing the whistling?,42
What was the sound that the speaker heard repeatedly at three in the morning?,43
How did the speaker describe the sound they heard?,43
Where did the speaker suspect the sound was coming from?,43
Who did the speaker ask if they had heard the sound?,43
What was the other person's response to the speaker's question?,43
Why did the narrator's companion lock the door at night?,44
Did the narrator's companion always sleep more soundly than them?,44
Did the narrator's companion think that the incident on the lawn was important?,44
Did the narrator's companion typically leave their door unlocked?,44
Was the incident on the lawn the reason why the narrator's companion locked their door?,44
Why did the doctor keep a cheetah and a baboon?,45
What made the narrator and their companions feel insecure?,45
Did the cheetah and baboon pose a threat to the narrator and their companions?,45
Were the narrator and their companions living in the doctor's home?,45
Why did the narrator feel the need to lock their doors?,45
Why couldn't the narrator sleep that night?,46
What specific feeling did the narrator experience?,46
What was the relationship between the narrator and their sister?,46
What kind of weather was it that night?,46
What specific sound startled the narrator?,46
What was the sound that the narrator heard after the whistle?,47
Who was the narrator's sister describing the whistle to?,47
What was the narrator's sister's door doing?,47
What was the narrator afraid might come out of the door?,47
Why did the narrator rush to the corridor?,47
What was the narrator doing when they saw their sister?,48
What was the expression on the sister's face?,48
What was the sister doing with her hands?,48
How was the sister moving?,48
What happened to the sister as the narrator reached her?,48
"Why did Helen shriek and say 'Oh, my God! Helen! It was the band! The speckled band!'?",49
What was it that Helen was trying to communicate with her finger pointing towards the doctor's room?,49
What kind of band was she referring to?,49
Why was Helen having a convulsion?,49
What happened after Helen's convulsion?,49
What was the narrator's relationship with the person who hastened from his room?,50
What happened to the narrator's sister that made him seek medical help?,50
What did the narrator's step-father do when he found his sister unconscious?,50
Did the narrator's sister regain consciousness after the medical aid arrived?,50
How did the narrator feel about his sister's death?,50
What specific details about the whistle and metallic sound did the county coroner inquire about?,51
What were the circumstances surrounding the witness's hearing of the whistle and metallic sound?,51
Why might the witness have been deceived about the sound?,51
What was the witness's sister wearing?,51
Was the witness's sister in her usual attire?,51
What was the woman wearing when the alarm was triggered?,52
What evidence suggests the woman was looking around when the alarm went off?,52
Was there anything else found in the woman's hands besides the match and matchbox?,52
What led the coroner to conclude that the woman was looking around after striking a light?,52
Were there any other details mentioned in the coroner's report?,52
How did the detective determine the door was fastened from the inside?,53
What measures were taken to ensure the windows couldn't be used to enter the room?,53
Why did the detective investigate the walls and floor?,53
What was the purpose of the detective's investigation?,53
What was Dr. Roylott's reputation like in the county?,53
How did the author determine that the sister was alone when she died?,54
What kind of violence would have left marks on the sister?,54
What is the significance of the chimney being barred up?,54
Why is the author certain that the sister was alone?,54
What other evidence might indicate that the sister was alone?,54
What did the doctors determine about the cause of the woman's death?,55
What was the specific cause of death the narrator believes the woman suffered from?,55
What was the basis for the narrator's theory about the woman's death?,55
What information led the narrator to ask about gypsies in the plantation?,55
Why did the narrator ask about the 'speckled band'?,55
